finance_id;cost;budget;other_expenses;Investment Description;roi;Projet;Responsable;Taux de change;Projet valide
3441;866000.97;1069713.57;44819.21;Frais pour les certifications et inspections de securite.;225001.16;Usine;Mme Zhang;1.423;False
3442;1888311.07;1536447.68;162091.85;Construction de la structure en beton arme.;397323.09;Pont;M. Ali;1.128;True
3443;4201568.05;4219575.07;125625.58;Frais de main-d'œuvre pour la construction.;586539.34;Pont;M. Muller;1.062;False
3444;3416294.67;3739203.16;511935.39;Achat de materiaux de construction (ciment, acier, etc.).;486188.57;Hopital;Mme Garcia;1.468;True
3445;6036343.38;4822890.81;499285.48;Travaux de genie civil et fondation du batiment.;1543234.04;Route;M. Smith;1.147;True
3446;2765929.51;2784240.24;181149.29;Installation des reseaux electriques et plomberie.;741926.23;Route;M. Ali;1.467;True
3447;289787.45;259453.64;19580.14;Installation de dispositifs de securite sur le chantier.;50080.62;Immeuble;M. Smith;1.095;False
3448;3010880.65;2634577.23;427913.05;Verification de la conformite aux normes locales de construction.;;Route;M. Smith;1.337;True
3449;texte;???;17909.23;;texte;Port;M. Smith;1.08;True
3450;???;1374725.71;14802.65;Achat de materiaux de construction (ciment, acier, etc.).;169315.22;Immeuble;Mme Zhang;1.359;False
3451;2312670.81;2253120.66;;Amenagement interieur et finitions (peinture, carrelage).;;Hopital;Mme Dupont;1.09;False
3452;600768.46;679487.46;;Amenagement interieur et finitions (peinture, carrelage).;9999999999;Hopital;Mme Dupont;1.161;True
3453;2365085.5;2058376.3;282810.24;Frais de main-d'œuvre pour la construction.;167387.08;Immeuble;M. Smith;1.48;False
3454;901107.0;???;131353.22;Acquisition du terrain pour le projet.;136347.79;Immeuble;;1.15;True
3455;5854940.62;4944329.31;221180.01;;1325421.95;;Mme Zhang;1.494;False
3456;3993684.21;3405379.19;55962.34;Amenagement interieur et finitions (peinture, carrelage).;;Hopital;Mme Dupont;1.221;False
3457;2546026.08;3253291.32;202449.87;Travaux de genie civil et fondation du batiment.;741637.64;Usine;Mme Garcia;1.13;False
3458;3862366.46;;390982.06;Installation de dispositifs de securite sur le chantier.;960759.5;Route;M. Smith;1.358;True
3459;2980119.93;2721888.59;;Installation des reseaux electriques et plomberie.;491626.87;Port;Mme Dupont;1.486;True
3460;1597767.77;1367325.01;151210.04;Achat de materiaux de construction (ciment, acier, etc.).;289639.36;Stade;Mme Dupont;1.181;True
3461;;1025981.89;146389.74;Frais pour les certifications et inspections de securite.;179631.87;Immeuble;Mme Garcia;0.99;False
3462;2941547.12;4083464.84;texte;Travaux de genie civil et fondation du batiment.;770962.39;Stade;M. Muller;1.263;False
3463;3402809.53;4393737.21;420526.51;Installation des reseaux electriques et plomberie.;;Immeuble;Mme Zhang;???;False
3464;???;2195959.17;57843.2;Achat de materiaux de construction (ciment, acier, etc.).;583814.73;Port;M. Muller;1.289;False
3465;3299216.34;4239230.16;191325.82;Construction de la structure en beton arme.;335037.01;ecole;;1.09;True
3466;3172425.09;???;152042.58;Installation de dispositifs de securite sur le chantier.;685217.36;Immeuble;M. Muller;1.326;True
3467;1378134.39;1247750.98;171241.54;Amenagement interieur et finitions (peinture, carrelage).;289629.5;Pont;M. Smith;0.995;False
3468;???;3620316.3;425537.4;Frais pour les certifications et inspections de securite.;445313.74;Port;Mme Dupont;;True
3469;805659.26;714704.73;40074.92;Frais de main-d'œuvre pour la construction.;67527.61;Hopital;M. Muller;???;True
3470;5260561.2;4296531.04;625722.92;Installation des reseaux electriques et plomberie.;843515.81;Immeuble;Mme Dupont;1.289;False
3471;1068635.71;951278.09;???;Amenagement interieur et finitions (peinture, carrelage).;173841.22;;M. Ali;???;True
3472;3203303.89;9999999999;334522.34;Installation de dispositifs de securite sur le chantier.;???;Usine;M. Muller;???;True
3473;2428748.83;3331769.29;71388.11;Frais de main-d'œuvre pour la construction.;183134.59;Port;M. Muller;1.131;True
3474;1838350.26;1774091.64;245777.14;Achat de materiaux de construction (ciment, acier, etc.).;491130.65;;Mme Dupont;???;False
3475;518450.33;457623.18;5331.78;Installation des reseaux electriques et plomberie.;64372.99;Usine;Mme Dupont;0.853;False
3476;1266538.38;1363196.05;127855.8;Achat de materiaux de construction (ciment, acier, etc.).;379799.01;Route;Mme Dupont;1.331;False
3477;1658164.72;1879880.21;186383.73;Verification de la conformite aux normes locales de construction.;455386.02;Port;M. Ali;1.472;False
3478;3935252.22;4853334.14;313190.33;Installation de dispositifs de securite sur le chantier.;1157348.47;Port;M. Smith;0.803;False
3479;3506901.68;texte;345616.46;Frais de main-d'œuvre pour la construction.;207152.87;Stade;Mme Dupont;0.91;True
3480;2232914.63;???;???;;478625.81;ecole;Mme Garcia;1.086;False
3481;1507758.85;2118480.22;129305.35;Frais de main-d'œuvre pour la construction.;209982.17;Route;Mme Garcia;1.495;False
3482;;2350933.64;147552.29;;281798.17;Hopital;M. Muller;0.801;True
3483;1329075.95;1025668.37;101188.02;Installation des reseaux electriques et plomberie.;356931.52;;M. Smith;;True
3484;2901482.69;2488348.97;243382.65;;726423.48;Usine;M. Muller;1.294;False
3485;4778874.44;9999999999;198186.96;Frais pour les certifications et inspections de securite.;954542.41;ecole;Mme Garcia;1.475;True
3486;1240277.12;1437515.88;39238.74;Acquisition du terrain pour le projet.;183984.67;;Mme Garcia;1.108;False
3487;3766961.38;4675961.54;253811.9;Frais pour les certifications et inspections de securite.;???;;M. Muller;9999999999;False
3488;1964073.85;2035341.18;137072.46;Acquisition du terrain pour le projet.;239794.02;Immeuble;Mme Dupont;1.341;True
3489;2478700.56;2560511.09;228132.38;Installation de dispositifs de securite sur le chantier.;484154.19;Stade;Mme Dupont;1.401;True
3490;???;???;26966.79;Travaux de genie civil et fondation du batiment.;9999999999;Usine;M. Ali;1.078;True
3491;299076.65;385903.16;texte;Verification de la conformite aux normes locales de construction.;;Stade;;;True
3492;3498759.25;;51155.56;Installation de dispositifs de securite sur le chantier.;877128.97;Immeuble;Mme Dupont;1.313;True
3493;1671211.47;1741555.83;96923.81;Travaux de genie civil et fondation du batiment.;;Usine;M. Muller;1.135;True
3494;802254.35;713207.46;30497.53;Installation des reseaux electriques et plomberie.;175461.8;ecole;Mme Dupont;1.304;False
3495;???;4218755.55;341472.62;Acquisition du terrain pour le projet.;881092.3;Route;M. Ali;???;False
3496;1593360.26;;???;Construction de la structure en beton arme.;460059.37;;M. Ali;1.341;True
3497;2944643.77;2380230.02;372809.39;;587334.2;Pont;M. Ali;???;True
3498;???;599834.82;21218.71;Installation de dispositifs de securite sur le chantier.;133453.72;ecole;Mme Dupont;1.18;False
3499;;798617.14;???;Frais pour les certifications et inspections de securite.;92773.51;Port;Mme Dupont;0.987;True
3500;1437900.51;1242785.68;151830.75;Construction de la structure en beton arme.;398941.9;Route;Mme Garcia;;False
3501;4111400.24;3209624.94;114722.75;Installation de dispositifs de securite sur le chantier.;1143669.83;ecole;Mme Zhang;1.125;False
3502;603520.02;595035.48;66098.1;Frais de main-d'œuvre pour la construction.;;Hopital;M. Smith;1.465;False
3503;3396713.05;2747733.43;344279.77;Acquisition du terrain pour le projet.;;Stade;Mme Zhang;1.012;True
3504;566109.27;;60880.5;Amenagement interieur et finitions (peinture, carrelage).;109096.89;Pont;M. Smith;1.003;False
3505;874408.06;1110667.25;109604.5;Amenagement interieur et finitions (peinture, carrelage).;200710.4;Usine;Mme Garcia;1.171;True
3506;1773738.33;1389062.39;148398.44;Construction de la structure en beton arme.;253071.55;ecole;M. Ali;1.222;False
3507;5063081.12;4577155.99;417721.53;Amenagement interieur et finitions (peinture, carrelage).;1192577.92;Hopital;M. Muller;1.061;True
3508;959565.55;908406.17;???;Installation des reseaux electriques et plomberie.;???;Usine;Mme Zhang;;True
3509;3905644.23;3436583.15;108918.06;Frais pour les certifications et inspections de securite.;699987.19;Usine;M. Muller;1.255;False
3510;3743248.3;3225692.73;???;Installation de dispositifs de securite sur le chantier.;541389.0;Immeuble;M. Smith;1.092;True
3511;???;4367079.31;474667.34;Construction de la structure en beton arme.;???;Pont;Mme Garcia;1.209;True
3512;3127277.97;???;???;Travaux de genie civil et fondation du batiment.;;Port;M. Smith;0.918;True
3513;???;1693746.37;texte;Installation de dispositifs de securite sur le chantier.;279951.51;Usine;M. Ali;1.218;False
3514;3892942.71;3113924.94;???;Amenagement interieur et finitions (peinture, carrelage).;822447.57;Stade;Mme Zhang;1.352;False
3515;2049768.41;2132314.89;210620.17;Frais de main-d'œuvre pour la construction.;110290.59;Port;Mme Dupont;1.159;True
3516;;???;???;Frais pour les certifications et inspections de securite.;46521.89;;M. Ali;???;False
3517;???;1185091.92;???;Acquisition du terrain pour le projet.;246255.75;Port;M. Ali;1.304;True
3518;1061659.91;933058.09;52988.87;Construction de la structure en beton arme.;;Route;Mme Garcia;1.486;False
3519;2369925.48;3370905.67;55563.73;Achat de materiaux de construction (ciment, acier, etc.).;252816.67;ecole;Mme Zhang;1.184;False
3520;2618096.67;2042018.96;???;Installation de dispositifs de securite sur le chantier.;370655.84;Pont;M. Smith;1.017;False
3521;4024892.05;3890392.27;362009.9;Amenagement interieur et finitions (peinture, carrelage).;937376.07;Stade;Mme Garcia;1.054;False
3522;709278.56;547692.0;86031.46;Installation des reseaux electriques et plomberie.;???;Route;M. Smith;0.868;False
3523;1936760.98;9999999999;211138.14;;206497.6;;Mme Dupont;???;False
3524;4621298.35;4091587.31;316953.44;Installation des reseaux electriques et plomberie.;1234248.6;Immeuble;;1.355;True
3525;3185251.72;2743853.24;425249.05;Frais de main-d'œuvre pour la construction.;145541.01;ecole;M. Muller;texte;False
3526;2312624.15;???;202210.34;Installation de dispositifs de securite sur le chantier.;482099.03;Immeuble;M. Muller;???;True
3527;3769946.97;;???;Amenagement interieur et finitions (peinture, carrelage).;1113389.32;;M. Ali;1.371;False
3528;372557.26;312640.7;30227.65;Installation des reseaux electriques et plomberie.;53225.16;ecole;M. Smith;0.91;False
3529;323204.42;383013.42;26376.89;Installation des reseaux electriques et plomberie.;74008.93;Usine;Mme Zhang;texte;True
3530;1166363.71;1399566.8;138137.1;Amenagement interieur et finitions (peinture, carrelage).;200224.31;Usine;Mme Garcia;1.031;True
3531;772431.75;1014656.99;???;Frais pour les certifications et inspections de securite.;204315.08;Port;;;True
3532;1375604.75;9999999999;94566.02;Verification de la conformite aux normes locales de construction.;???;;Mme Zhang;1.211;True
3533;1071797.32;1138494.03;76935.17;Installation de dispositifs de securite sur le chantier.;199421.31;;M. Muller;1.319;True
3534;1775754.92;2187543.29;46544.19;Frais de main-d'œuvre pour la construction.;62708.24;Route;M. Muller;1.202;False
3535;4536725.34;3523887.37;395488.48;Acquisition du terrain pour le projet.;???;Hopital;M. Muller;1.194;True
3536;368458.57;307785.27;10010.01;Construction de la structure en beton arme.;81221.37;Route;M. Ali;1.061;False
3537;3950807.98;3601779.03;40210.24;Amenagement interieur et finitions (peinture, carrelage).;802507.81;Stade;M. Muller;0.8;True
3538;830997.02;;107731.87;Amenagement interieur et finitions (peinture, carrelage).;214367.06;ecole;Mme Dupont;1.494;True
3539;529066.82;436041.58;;Installation de dispositifs de securite sur le chantier.;62924.76;Hopital;Mme Zhang;1.191;False
3540;4111528.11;3763600.68;93275.34;Verification de la conformite aux normes locales de construction.;910773.77;Hopital;M. Ali;1.439;False
3541;253374.19;277292.02;;Achat de materiaux de construction (ciment, acier, etc.).;59382.95;Route;;???;False
3542;479230.3;499271.2;49090.91;Achat de materiaux de construction (ciment, acier, etc.).;94219.28;ecole;M. Muller;1.018;True
3543;2489816.12;3027483.65;81693.52;Construction de la structure en beton arme.;700720.04;Stade;Mme Dupont;1.143;True
3544;2281319.98;3040796.59;330329.32;Amenagement interieur et finitions (peinture, carrelage).;322823.07;Pont;Mme Dupont;???;False
3545;???;2924788.71;???;Installation des reseaux electriques et plomberie.;640159.39;Immeuble;Mme Dupont;1.266;True
3546;2700424.94;???;380729.48;Installation de dispositifs de securite sur le chantier.;???;Stade;M. Smith;0.908;False
3547;???;???;???;Achat de materiaux de construction (ciment, acier, etc.).;226160.37;Pont;M. Smith;1.352;True
3548;3958145.19;???;547645.03;Acquisition du terrain pour le projet.;666479.61;Stade;Mme Dupont;1.101;False
3549;2723953.59;3401493.72;72193.36;Acquisition du terrain pour le projet.;162383.75;Hopital;Mme Garcia;0.857;True
3550;2624954.21;3369404.59;271799.45;Amenagement interieur et finitions (peinture, carrelage).;???;Route;M. Ali;0.842;False
3551;texte;1850168.44;183828.42;Installation de dispositifs de securite sur le chantier.;489877.35;Pont;Mme Dupont;???;True
3552;1390161.24;1183692.48;172712.49;Frais de main-d'œuvre pour la construction.;texte;Hopital;Mme Dupont;1.417;False
3553;3338913.58;;222500.49;Construction de la structure en beton arme.;366213.56;Immeuble;Mme Zhang;0.822;True
3554;420824.78;536363.3;7092.35;Amenagement interieur et finitions (peinture, carrelage).;108792.17;ecole;Mme Garcia;0.886;False
3555;4935808.77;???;664330.01;Frais pour les certifications et inspections de securite.;743503.18;Usine;Mme Dupont;1.414;True
3556;;3489780.44;84810.7;Frais pour les certifications et inspections de securite.;texte;Route;Mme Zhang;1.097;False
3557;1446843.18;1391699.22;85849.26;Acquisition du terrain pour le projet.;75685.78;Stade;Mme Garcia;0.824;True
3558;3401662.74;3492323.04;196164.5;Acquisition du terrain pour le projet.;???;Route;M. Muller;1.233;False
3559;2100930.13;2900343.14;96863.01;Installation des reseaux electriques et plomberie.;623052.69;Hopital;Mme Zhang;0.9;True
3560;9999999999;1522743.82;???;Installation de dispositifs de securite sur le chantier.;392466.75;Pont;Mme Zhang;1.394;False
3561;2677910.99;2325282.84;253530.58;Installation des reseaux electriques et plomberie.;699696.42;Route;Mme Dupont;0.867;False
3562;???;???;251825.78;Achat de materiaux de construction (ciment, acier, etc.).;497185.55;Immeuble;M. Muller;1.299;False
3563;2093192.77;???;;Acquisition du terrain pour le projet.;158863.79;Port;M. Smith;0.859;False
3564;2317871.14;1996036.54;198456.27;;119545.59;Route;;1.218;True
3565;???;1423334.75;???;Installation des reseaux electriques et plomberie.;510337.27;Usine;M. Smith;1.255;True
3566;1890875.07;2039586.75;texte;Installation de dispositifs de securite sur le chantier.;499765.86;Immeuble;Mme Dupont;0.911;False
3567;4120279.57;4127113.2;117424.52;Achat de materiaux de construction (ciment, acier, etc.).;1002709.99;Pont;Mme Zhang;0.904;True
3568;4347936.8;texte;251397.5;Acquisition du terrain pour le projet.;940147.7;ecole;Mme Garcia;1.025;False
3569;3731735.01;3040996.76;;;643325.39;ecole;Mme Zhang;1.341;True
3570;texte;3167093.39;534611.87;Frais de main-d'œuvre pour la construction.;212539.31;Hopital;M. Ali;1.303;False
3571;;1920187.61;102171.08;Installation des reseaux electriques et plomberie.;265809.03;Pont;M. Ali;0.905;True
3572;99508.82;132480.87;3041.36;Installation des reseaux electriques et plomberie.;15341.62;Immeuble;M. Muller;0.958;True
3573;3452084.89;3984868.88;???;Achat de materiaux de construction (ciment, acier, etc.).;???;ecole;Mme Garcia;1.448;False
3574;2241307.07;2608769.13;306993.46;Amenagement interieur et finitions (peinture, carrelage).;529358.15;Port;M. Smith;;True
3575;3067517.12;???;???;Achat de materiaux de construction (ciment, acier, etc.).;876064.65;Usine;Mme Garcia;0.903;True
3576;1249004.88;1163352.7;111434.89;Construction de la structure en beton arme.;texte;Hopital;M. Muller;;True
3577;4201751.74;;;Verification de la conformite aux normes locales de construction.;;Usine;;1.495;False
3578;4510870.71;4072764.96;273480.85;Installation de dispositifs de securite sur le chantier.;858561.71;;Mme Zhang;???;False
3579;???;1144713.99;103098.88;Construction de la structure en beton arme.;???;Port;M. Muller;0.904;False
3580;1255730.81;???;???;Amenagement interieur et finitions (peinture, carrelage).;207681.7;Hopital;;1.479;True
3581;2527368.22;2812339.1;373764.1;Verification de la conformite aux normes locales de construction.;422782.93;Route;Mme Garcia;???;True
3582;2558689.64;2602843.64;???;Verification de la conformite aux normes locales de construction.;???;Port;M. Smith;1.066;False
3583;3641275.14;3572097.39;311864.25;Installation de dispositifs de securite sur le chantier.;582041.86;Port;Mme Dupont;???;True
3584;366400.56;372516.23;14313.44;Amenagement interieur et finitions (peinture, carrelage).;???;Usine;Mme Garcia;1.052;True
3585;703667.07;603342.47;76916.94;;53252.76;ecole;M. Smith;1.389;True
3586;1729669.95;1358930.49;70538.5;Achat de materiaux de construction (ciment, acier, etc.).;178233.93;Usine;Mme Dupont;0.994;False
3587;1942244.33;1841812.8;255244.08;Acquisition du terrain pour le projet.;9999999999;Stade;M. Muller;1.123;False
3588;3862940.23;4664709.99;360498.41;Installation des reseaux electriques et plomberie.;1043151.35;Hopital;Mme Dupont;1.278;False
3589;1442832.63;1211230.06;193632.41;Installation des reseaux electriques et plomberie.;;Pont;Mme Garcia;;False
3590;171337.82;239603.05;2809.79;Amenagement interieur et finitions (peinture, carrelage).;;Immeuble;;1.006;False
3591;2124197.85;???;229715.49;Construction de la structure en beton arme.;517004.76;Hopital;M. Muller;1.171;True
3592;4145411.02;4205560.74;275611.49;Travaux de genie civil et fondation du batiment.;510386.01;Pont;M. Smith;???;True
3593;???;2336088.18;???;Travaux de genie civil et fondation du batiment.;595728.67;Immeuble;Mme Garcia;1.407;True
3594;915915.31;1150492.91;33037.38;Installation des reseaux electriques et plomberie.;150483.6;;M. Smith;0.81;False
3595;857691.11;1113023.58;46064.49;Construction de la structure en beton arme.;123223.33;Usine;Mme Garcia;1.124;False
3596;???;2410833.36;134217.73;Installation de dispositifs de securite sur le chantier.;303485.91;Usine;M. Smith;???;False
3597;???;???;211413.18;;352611.07;Pont;M. Ali;1.398;True
3598;881717.01;688716.45;106019.52;Construction de la structure en beton arme.;110577.73;Route;Mme Garcia;1.091;True
3599;2883228.49;2455730.67;336640.16;Travaux de genie civil et fondation du batiment.;534355.47;;Mme Garcia;0.944;True
3600;;4540920.65;310902.19;Installation des reseaux electriques et plomberie.;1541918.59;Usine;Mme Garcia;0.916;True
3601;4242416.68;4510656.35;616538.23;Frais pour les certifications et inspections de securite.;1177223.38;Stade;M. Ali;0.866;True
3602;1668772.32;1336635.18;64717.92;Frais de main-d'œuvre pour la construction.;154405.05;Immeuble;Mme Garcia;???;True
3603;659226.05;651079.2;35136.86;Acquisition du terrain pour le projet.;79302.81;;Mme Zhang;0.927;True
3604;5032216.93;4377299.07;379809.37;Achat de materiaux de construction (ciment, acier, etc.).;980114.54;ecole;Mme Zhang;texte;True
3605;3378131.8;3967494.53;482926.47;Achat de materiaux de construction (ciment, acier, etc.).;394000.6;Usine;M. Muller;???;False
3606;5298346.73;4636010.01;661432.28;Frais de main-d'œuvre pour la construction.;523084.25;Immeuble;M. Ali;0.851;True
3607;2937669.52;2548239.17;408322.7;Amenagement interieur et finitions (peinture, carrelage).;742091.97;Usine;M. Ali;???;False
3608;1744998.88;1748624.06;9999999999;Installation de dispositifs de securite sur le chantier.;323756.53;Port;M. Smith;1.142;True
3609;???;1868312.19;texte;Verification de la conformite aux normes locales de construction.;227993.8;Immeuble;Mme Garcia;0.851;False
3610;1400295.82;1178288.22;122883.94;Construction de la structure en beton arme.;322728.2;Immeuble;M. Ali;1.103;False
3611;3496632.54;???;332504.53;Frais pour les certifications et inspections de securite.;;Port;M. Smith;0.88;True
3612;195542.18;262473.6;8086.09;Achat de materiaux de construction (ciment, acier, etc.).;32628.65;ecole;Mme Zhang;0.998;True
3613;1805306.61;9999999999;174368.14;Achat de materiaux de construction (ciment, acier, etc.).;274965.71;ecole;Mme Dupont;;False
3614;726564.88;576519.15;???;Verification de la conformite aux normes locales de construction.;???;ecole;Mme Zhang;1.387;True
3615;2211924.33;1778872.54;91538.38;;389927.02;Usine;M. Smith;1.266;False
3616;2978989.58;;273365.98;Acquisition du terrain pour le projet.;219355.79;;M. Ali;1.121;False
3617;1764557.13;1597207.98;31760.05;Construction de la structure en beton arme.;???;Port;;1.427;False
3618;3081744.74;3140204.44;317543.68;Frais de main-d'œuvre pour la construction.;226290.75;Port;Mme Garcia;0.937;False
3619;1841324.02;2387835.0;;Verification de la conformite aux normes locales de construction.;433752.95;Hopital;M. Smith;1.273;True
3620;2562168.87;3164216.92;325746.53;Acquisition du terrain pour le projet.;130466.85;Usine;Mme Garcia;1.038;False
3621;2736902.12;3796191.16;317114.66;Frais de main-d'œuvre pour la construction.;303320.0;Port;M. Ali;???;False
3622;9999999999;4932919.43;;Installation des reseaux electriques et plomberie.;772766.68;Route;M. Muller;texte;False
3623;texte;???;30413.75;Acquisition du terrain pour le projet.;159891.32;Port;M. Smith;1.388;False
3624;5142594.27;4436601.99;303881.16;Acquisition du terrain pour le projet.;1088661.76;Immeuble;M. Muller;1.034;False
3625;3089362.63;3313530.97;298626.66;Installation des reseaux electriques et plomberie.;700057.75;Port;;0.855;False
3626;5009403.43;4225600.54;???;Installation de dispositifs de securite sur le chantier.;1409770.76;Stade;M. Muller;0.825;True
3627;1561543.01;???;68375.68;Installation de dispositifs de securite sur le chantier.;209138.41;ecole;Mme Garcia;1.307;False
3628;1373550.31;1642620.8;;Frais de main-d'œuvre pour la construction.;185846.18;Route;M. Smith;1.363;False
3629;1793999.33;1470322.82;;Installation de dispositifs de securite sur le chantier.;;Stade;M. Ali;9999999999;True
3630;3391600.37;3674046.04;;Amenagement interieur et finitions (peinture, carrelage).;???;Hopital;M. Ali;;False
3631;1812898.61;???;29017.1;Verification de la conformite aux normes locales de construction.;;ecole;M. Smith;???;True
3632;;371276.62;21269.78;Frais de main-d'œuvre pour la construction.;13231.65;Usine;M. Ali;0.924;False
3633;3739235.21;4208312.01;61415.21;Travaux de genie civil et fondation du batiment.;???;Route;Mme Garcia;???;False
3634;???;1109279.72;190942.89;Installation de dispositifs de securite sur le chantier.;213939.53;;Mme Zhang;1.284;False
3635;4970814.77;4332468.09;222044.33;Travaux de genie civil et fondation du batiment.;1395237.07;Route;Mme Garcia;1.234;False
3636;;646150.84;81639.22;Installation des reseaux electriques et plomberie.;107025.23;Hopital;;1.414;True
3637;970978.93;9999999999;???;Construction de la structure en beton arme.;???;Stade;Mme Dupont;1.074;False
3638;2930969.5;3000305.61;9999999999;Installation de dispositifs de securite sur le chantier.;???;Route;M. Ali;1.404;True
3639;1881814.04;2192869.38;;Frais de main-d'œuvre pour la construction.;;Stade;;1.294;False
3640;2220654.14;2687714.11;128342.9;Frais de main-d'œuvre pour la construction.;244808.85;Pont;M. Smith;0.822;False
3641;228049.79;242067.27;19133.38;Frais de main-d'œuvre pour la construction.;18683.11;Port;Mme Dupont;1.137;True
3642;4995029.5;4713054.37;217192.66;Acquisition du terrain pour le projet.;1171275.0;Route;Mme Garcia;0.877;True
3643;2139467.72;2510722.87;200577.31;Installation des reseaux electriques et plomberie.;436843.92;Immeuble;M. Muller;0.872;True
3644;???;;261348.24;Construction de la structure en beton arme.;731691.11;Stade;M. Muller;1.154;True
3645;1847333.07;2497466.22;30077.93;Acquisition du terrain pour le projet.;404574.17;Stade;Mme Dupont;1.421;False
3646;1406488.5;1409907.83;204203.16;Construction de la structure en beton arme.;198310.64;Immeuble;M. Smith;1.172;False
3647;;2610222.57;24522.18;Verification de la conformite aux normes locales de construction.;434400.56;Stade;M. Smith;0.949;False
3648;3713916.42;3333677.34;40903.0;Verification de la conformite aux normes locales de construction.;???;Pont;M. Smith;0.929;True
3649;2530152.25;3110261.69;332365.83;Construction de la structure en beton arme.;692823.98;Route;;1.35;False
3650;1654628.89;1303952.01;9999999999;Construction de la structure en beton arme.;273219.61;Immeuble;Mme Zhang;;True
3651;3066057.51;2799046.86;417413.1;Installation des reseaux electriques et plomberie.;;Route;M. Ali;1.48;True
3652;2908306.76;2359721.43;???;Frais de main-d'œuvre pour la construction.;141174.47;ecole;Mme Dupont;1.32;True
3653;1388113.95;1112940.93;21220.07;Travaux de genie civil et fondation du batiment.;;Usine;M. Smith;0.937;True
3654;5730094.64;4801034.24;189772.4;Amenagement interieur et finitions (peinture, carrelage).;983532.29;Usine;Mme Zhang;0.985;True
3655;3512354.32;4894510.37;328805.18;Installation des reseaux electriques et plomberie.;433662.97;Stade;Mme Zhang;1.364;True
3656;4483909.07;4041121.75;175712.08;Travaux de genie civil et fondation du batiment.;471488.43;Pont;M. Muller;1.226;True
3657;717172.32;;;Frais pour les certifications et inspections de securite.;113629.67;Route;Mme Dupont;1.265;True
3658;4075352.35;3528938.22;436068.81;Acquisition du terrain pour le projet.;964456.86;Pont;Mme Dupont;1.011;True
3659;2828168.63;3930634.57;122323.77;Frais pour les certifications et inspections de securite.;797285.3;Stade;Mme Zhang;1.171;False
3660;1177156.65;1165821.16;84855.46;Installation de dispositifs de securite sur le chantier.;258975.18;Route;Mme Garcia;1.368;True
3661;1612967.05;1427386.72;160219.03;Frais de main-d'œuvre pour la construction.;94204.15;Hopital;;1.401;True
3662;3016847.84;2481495.63;;Construction de la structure en beton arme.;826821.32;Usine;Mme Zhang;1.396;False
3663;3304699.91;4353559.68;191875.25;Frais de main-d'œuvre pour la construction.;243938.29;Port;M. Muller;1.093;True
3664;1579524.07;1749063.08;24865.84;Frais pour les certifications et inspections de securite.;453911.07;Hopital;Mme Garcia;???;False
3665;3634309.7;texte;???;Acquisition du terrain pour le projet.;256810.57;Stade;Mme Dupont;1.377;False
3666;2269262.22;2611243.9;257613.78;Frais de main-d'œuvre pour la construction.;268797.07;Pont;M. Muller;0.979;False
3667;2600048.51;3588042.39;359958.53;Frais pour les certifications et inspections de securite.;490691.41;Usine;Mme Garcia;1.451;False
3668;4180494.39;3940886.04;509975.46;Amenagement interieur et finitions (peinture, carrelage).;???;Stade;;1.158;True
3669;???;2588169.09;;Installation de dispositifs de securite sur le chantier.;???;Stade;Mme Zhang;1.113;False
3670;4001547.56;3175168.53;???;Installation des reseaux electriques et plomberie.;???;Stade;Mme Zhang;???;True
3671;724505.57;718336.04;22295.84;Verification de la conformite aux normes locales de construction.;???;Route;M. Smith;1.217;True
3672;135239.48;183431.65;6748.88;Frais de main-d'œuvre pour la construction.;18544.7;Immeuble;Mme Garcia;1.382;False
3673;2030067.27;2363041.1;224825.67;Achat de materiaux de construction (ciment, acier, etc.).;380181.61;Pont;M. Ali;1.274;False
3674;4339571.59;3961651.37;;Travaux de genie civil et fondation du batiment.;720275.25;Route;Mme Zhang;1.431;True
3675;3743124.47;3904963.86;175518.98;Frais pour les certifications et inspections de securite.;655499.03;Hopital;M. Ali;1.438;True
3676;2774863.47;2505013.43;182092.4;Amenagement interieur et finitions (peinture, carrelage).;724388.82;Immeuble;Mme Zhang;1.464;True
3677;1450785.98;1453894.64;203174.51;Frais pour les certifications et inspections de securite.;161293.21;Immeuble;Mme Zhang;1.035;True
3678;3622581.9;3972498.11;351927.26;;494582.49;Stade;M. Smith;;True
3679;;2177417.11;328517.78;Amenagement interieur et finitions (peinture, carrelage).;317085.6;Port;M. Muller;1.479;False
3680;1561678.25;2132330.05;194978.82;Installation des reseaux electriques et plomberie.;267397.23;ecole;Mme Zhang;1.492;True
3681;234612.0;246849.54;25914.19;Verification de la conformite aux normes locales de construction.;32888.99;Port;Mme Dupont;1.059;False
3682;3556311.95;3434413.44;416921.46;Achat de materiaux de construction (ciment, acier, etc.).;800701.67;Port;;0.962;False
3683;3480436.14;2824341.24;414106.1;Installation des reseaux electriques et plomberie.;???;Route;Mme Dupont;1.268;False
3684;289202.81;276629.39;41903.31;Construction de la structure en beton arme.;85796.3;Stade;M. Muller;1.275;True
3685;???;263718.46;texte;;53420.02;Hopital;Mme Dupont;???;True
3686;???;948736.57;;Frais pour les certifications et inspections de securite.;168040.71;Route;M. Muller;1.275;True
3687;9999999999;3567312.79;318767.54;Installation de dispositifs de securite sur le chantier.;980868.12;;Mme Dupont;???;True
3688;2988258.59;2762381.67;246909.04;Achat de materiaux de construction (ciment, acier, etc.).;633270.38;Route;Mme Garcia;1.008;False
